appstore_store_id,appstore_bundle_id,appstore_developer_url,url,status_code
8472,8472,,https://channelstore.roku.com/details/b912bf62fef4cb0ace94878825bc0636:0c1358ae549da9bde493118e93a71a07/giant-bomb,200
8474,8474,,https://channelstore.roku.com/details/5d438425064464eba4896e5deeb7aa97:9d006d4761ccd818314f7f456fa382df/ultra-radio-mexico,200
8617,8617,https://pc-magic.com,https://channelstore.roku.com/details/4a3f2d2051d9ae25aad61b3f1c21d78c:324585f08588ea37fec7292b50d77321/weather4us,200
8658,8658,https://futuretodayinc.com,https://channelstore.roku.com/details/8742da12785603740b63323eeee1263c:82f3d15fdd7f4783c96d6d414b1b73c5/travel-with-kids,200
8643,8643,,https://channelstore.roku.com/details/c2c2dc174fa9014fb8ad4d3ff049ac05:02bfbd8a095be3be6b02b1145b6cd2e8/pilates-anytime,200
8804,8804,,https://channelstore.roku.com/details/58b2a9b0827f61367ca6b37991bfddb6:cabede4e80d642feb502018648bb52e4/hondutv-live-tv-from-honduras,200
8965,8965,https://futuretodayinc.com,https://channelstore.roku.com/details/d206553aab2da3c3b5aa8fa035d33062:f838a4bf7a78356e5ff5ad4eb4161734/ifoodtv-food-recipes-and-cooking-shows,200
9159,9159,,https://channelstore.roku.com/details/fd309e77693e38f49896015ec2376ed2:85cd7841986e40f879d51eb6a2cce940/elevation-church,200
9354,9354,,https://channelstore.roku.com/details/634387a8562c6dd18faa2ef24e3ec6c9:75c9996a476b964b89aa73f686b3699f/gaia,200
9371,9371,,https://channelstore.roku.com/details/c328dd603016def266f2f62f789181ab:704a6dc070cef35fc155e182dc6e0e74/onelink-tv-network,200
9405,9405,,https://channelstore.roku.com/details/fc0f55df75494b380979f0cbabc9aee5:49da5d478ce83415d7cc4d5f47b70fbf/candy-bear,200
9531,9531,,https://channelstore.roku.com/details/20d7593bd1668b560f927615e6edf792:0bbb271ee440f05a1c4d547cace98431/mojotv,200
9937,9937,,https://channelstore.roku.com/details/d30217b65754123b65d59cde90faa7ba:6baa3fe728ad70f762a0190eaad26f5f/hope-channel,200
10061,10061,,https://channelstore.roku.com/details/d2a68373c3a2b70a57beb0f3a624da85:8d3e95b9179d2a4031c550ae7791e9e7/beyond-today-television,200
10208,10208,,https://channelstore.roku.com/details/6566ba1b1e2d55f54253ed50d404ffce:7402ed138f4b805aec85d5c38f6b24d8/lifeminutetv,200
10365,10365,,https://channelstore.roku.com/details/1ceac49dd4774d0fded881e4f141768e:a9c8ad1695712497d51ce6df0e764445/muffin-knight,200
10393,10393,,https://channelstore.roku.com/details/cd097a742a1b703f16e8e81b16cbd701:5eb6c60db33e399d24db1399f360df2e/hagee-ministries,200
10528,10528,,https://channelstore.roku.com/details/fb0924424ca6fe968898c408c84c932b:e51449174ae33dba523de009963a9b26/north-point-app,200
10682,10682,,https://channelstore.roku.com/details/6efed5b4f984cd5e59428b04d5632ebd:c42d19ffd3f0048b48dff87e92069922/grand-ole-church,200
11250,11250,,https://channelstore.roku.com/details/3801812571dfcaa5441fe2ba14fed857:2c4980d0c32353157fa2a9ef503b9159/floating-circles,200
11525,11525,,https://channelstore.roku.com/details/05e76bca9c03255985b59992f0f59f6e:e408dfc1dddf7ea1ed100b209b948296/streamingchurchtv,200
11261,11261,,https://channelstore.roku.com/details/b632d4aafc415a975885fc0fd14487b7:61e201848ea74e13174f1fcf39529777/3abn,200
11815,11815,,https://channelstore.roku.com/details/b107eae70b9bd90b575fe1164e9189db:1890b9da73a7662740aeeec6ef818916/bowhuntingcom,200
11974,11974,,https://channelstore.roku.com/details/221dea80c4dedde95263cdcc201e068c:5b2d7df964ce13429a347677d0751755/tastylive-finance,200
12291,12291,,https://channelstore.roku.com/details/bb0f83ff09a1cf1e1ac9c38cc2f22205:a961543b42ea704d2b1ee6c2d4333b90/catholictv,200
12564,12564,,https://channelstore.roku.com/details/4de75f76a1c415f8d29ad71432af4ba3:0c3848d685e53747925b0570ae5eb735/webcam-one,200
12953,12953,,https://channelstore.roku.com/details/23db48843cb2251eee81ffd7a210107e:45cfa17c8a27acbd83b765ea676b255f/muslim-television-ahmadiyya,200
13081,13081,,https://channelstore.roku.com/details/e6379f790b5069bc495c532a7b353f5e:e12febd2863472d8e60968871dabfb4f/kenneth-copeland-ministries,200
